
run 9 ********** ShankarMask **********
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11673 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11674 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11675 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11676 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11677 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11678 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11679 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11680 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11681 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11682 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11683 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11684 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11685 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11686 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11687 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11688 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11689 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11690 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11691 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11692 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11693 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11694 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11695 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11696 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11697 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11698 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11699 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11700 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11701 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11702 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11703 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11704 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11705 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11706 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11707 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11708 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11709 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11710 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11711 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11712 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11713 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11714 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11715 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11716 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11717 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11718 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11719 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11720 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11721 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11722 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11723 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11724 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11725 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11726 True
ShankarMask /media/soham/E/ShankarData/run9/run9_5vto3.35v Image11727 True
