#run	#voltage_cool	#arc_length	#total_count	#clustered_count
1	2.2	34.2912621359	277.0	92
2	2.4	35.7425334706	344.0	115
3	2.55	36.4711286089	384.0	93
4	2.6	35.8480096502	490.0	137
5	2.7	37.2503888025	693.0	195
6	2.85	54.7336504162	856.0	192
7	3.0	57.719269103	1085.0	339
8	3.2	58.3085106383	1276.0	332
9	3.35	59.6429433052	1437.0	284
10	3.45	59.7703180212	1590.0	382
11	3.6	60.9783163265	1794.0	303
12	3.8	62.3533424284	2338.0	416
13	3.7	63.4376770538	2585.0	527
14	3.9	65.2800511509	3250.0	559
15	4.1	67.3555259654	3689.0	435
16	4.25	69.1136363636	4000.0	362
17	4.15	67.5199430199	3937.0	669
